,,"(车号,已充电量,当前费用)",,,,,"(车号,充电类型,充电量)"
时刻,事件,快充1,快充2,慢充1,慢充2,慢充3,等候区(10辆)
06:00:00,"(A,V1,T,40)",-,-,"(V1,0.00,0.00)",-,-,
,,-,-,-,-,-,
,,-,-,-,-,-,
06:05:00,"(A,V2,T,30)",-,-,"(V1,0.83,1.00)","(V2,0.00,0.00)",-,
,,-,-,-,-,-,
,,-,-,-,-,-,
06:10:00,"(A,V3,F,100)","(V3,0.00,0.00)",-,"(V1,1.67,2.00)","(V2,0.83,1.00)",-,
,,-,-,-,-,-,
,,-,-,-,-,-,
06:15:00,"(A,V4,F,120)","(V3,2.50,3.00)","(V4,0.00,0.00)","(V1,2.50,3.00)","(V2,1.67,2.00)",-,
,,-,-,-,-,-,
,,-,-,-,-,-,
06:20:00,"(A,V2,O,0)","(V3,5.00,6.00)","(V4,2.50,3.00)","(V1,3.33,4.00)",-,-,
,,-,-,-,-,-,
,,-,-,-,-,-,
06:25:00,"(A,V5,T,20)","(V3,7.50,9.00)","(V4,5.00,6.00)","(V1,4.17,5.00)","(V5,0.00,0.00)",-,
,,-,-,-,-,-,
,,-,-,-,-,-,
06:30:00,"(A,V6,T,20)","(V3,10.00,12.00)","(V4,7.50,9.00)","(V1,5.00,6.00)","(V5,0.83,1.00)","(V6,0.00,0.00)",
,,-,-,-,-,-,
,,-,-,-,-,-,
06:35:00,"(A,V7,F,110)","(V3,12.50,15.00)","(V4,10.00,12.00)","(V1,5.83,7.00)","(V5,1.67,2.00)","(V6,0.83,1.00)",
,,"(V7,0.00,0.00)",-,-,-,-,
,,-,-,-,-,-,
06:40:00,"(A,V8,T,20)","(V3,15.00,18.00)","(V4,12.50,15.00)","(V1,6.67,8.00)","(V5,2.50,3.00)","(V6,1.67,2.00)",
,,"(V7,0.00,0.00)",-,-,"(V8,0.00,0.00)",-,
,,-,-,-,-,-,
06:45:00,"(A,V9,F,105)","(V3,17.50,21.00)","(V4,15.00,18.00)","(V1,7.50,9.00)","(V5,3.33,4.00)","(V6,2.50,3.00)",
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)",-,
,,-,-,-,-,-,
06:50:00,"(A,V10,T,10)","(V3,20.00,24.00)","(V4,17.50,21.00)","(V1,8.33,10.00)","(V5,4.17,5.00)","(V6,3.33,4.00)",
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,-,-,-,-,-,
06:55:00,"(A,V11,F,110)","(V3,22.50,27.00)","(V4,20.00,24.00)","(V1,9.17,11.00)","(V5,5.00,6.00)","(V6,4.17,5.00)",
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)",-,-,-,-,
07:00:00,"(A,V12,F,90)","(V3,25.00,30.00)","(V4,22.50,27.00)","(V1,10.00,12.00)","(V5,5.83,7.00)","(V6,5.00,6.00)",
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,-,-,
07:05:00,"(A,V13,F,110)","(V3,27.50,33.75)","(V4,25.00,30.75)","(V1,10.83,13.25)","(V5,6.67,8.25)","(V6,5.83,7.25)","(V13,F,110.00)"
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
